churn,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index
1,53,0,1,1,4,3,26652,1,4,1,3,2,37,1,3,6,3,0,2665.48,1,0,160,0,4790.0,6570.0,-1.02,3,215.58,2,9,8,5,81,2587,43,0.666,0.536,1202.0,2517,1,1,1,1,0,0,0,1,1,0,3719,1197.0,0.677,0,0,58994.0,2004.0,1,39.8,0,15,7,0.917,25,2,,0,52.5,1,0.399,2,14,0,0,2,0,2,0,3.5,75,8,0,1,1,0,0,85,0,0,1,2167,0.641,0.679,13668.0,22,0.9023,39.8
1,48,0,1,6,4,3,34835,2,4,0,4,2,41,3,0,3,0,0,3184.25,0,0,149,1,7465.0,5430.0,13.65,3,177.67,3,13,9,8,97,2132,37,0.449,0.37,1180.0,1267,1,0,1,0,0,0,0,0,1,0,2447,1151.0,0.518,0,0,0.0,0.0,0,57.4,0,12,6,0.909,14,1,,1,58.1,1,0.449,1,2,0,2,3,0,3,0,2.8,-7,2,0,1,2,0,0,62,0,0,0,3260,0.482,0.36,19914.0,18,0.0,55.5
0,56,0,1,2,3,0,22966,1,4,0,2,2,41,3,1,5,0,0,7519.56,1,3,96,1,1967.0,1800.0,-0.49,6,314.83,6,19,6,7,145,3778,72,0.796,1.118,1438.3,0,1,0,1,0,0,0,1,0,1,0,1438,1510.0,0.0,1,1,0.0,0.0,0,20.3,0,18,18,0.842,5,1,,0,47.8,1,0.338,1,7,0,6,1,4,3,0,5.0,17,3,1,2,0,0,0,76,1,1,2,1740,0.037,0.075,5780.0,36,0.0,39.3
0,39,1,1,0,5,3,106223,4,3,0,3,0,29,0,2,3,0,0,16388.63,1,0,7,0,23516.0,26023.0,9.87,4,355.83,5,12,13,9,106,4270,59,0.934,0.639,32394.0,1804,1,1,1,0,0,0,0,0,1,1,34198,2486.0,0.053,1,1,0.0,0.0,0,7.1,0,13,9,0.872,21,0,4.1,1,58.3,1,0.369,1,1,0,1,4,0,1,0,4.7,23,4,0,4,1,0,0,11,0,1,1,10283,0.113,0.094,67067.0,22,0.0,53.6
0,50,0,1,0,2,0,54098,3,1,1,1,2,36,3,2,5,0,0,14950.25,1,1,78,0,7785.0,8642.0,1.23,5,430.83,4,20,7,8,133,5170,68,0.835,0.659,423.0,2005,1,0,1,0,0,0,0,0,1,0,2428,2549.0,0.826,0,1,0.0,0.0,0,46.4,0,24,11,0.897,16,1,1.8,1,67.8,1,0.604,0,0,0,2,1,0,3,0,3.2,42,3,0,3,1,0,0,60,0,2,2,5040,0.767,0.665,23026.0,35,0.0,61.4
0,45,1,3,6,4,4,53837,3,1,0,1,0,39,1,2,5,3,1,14721.15,0,0,24,0,6779.0,7456.0,4.82,6,345.08,9,15,9,7,36,4141,73,0.736,0.521,22297.0,1684,1,1,1,1,0,0,1,0,1,0,23981,3301.0,0.07,0,2,19427.0,889.0,1,60.3,1,13,8,0.775,8,1,,0,44.0,1,0.344,3,12,0,5,2,0,1,0,4.2,28,5,1,1,0,0,0,112,0,0,1,4982,0.046,0.038,20314.0,21,0.1982,36.9
0,47,0,3,2,3,0,87726,4,5,1,3,0,34,1,2,5,0,0,22103.04,1,0,4,1,16731.0,17439.0,6.46,7,369.58,5,13,5,7,31,4435,88,0.89,0.796,16025.0,2039,1,1,1,0,1,1,0,0,1,0,18064,2089.0,0.113,0,1,32113.0,1133.0,0,19.7,1,19,16,0.833,17,1,4.3,1,61.8,1,0.352,1,3,0,2,4,8,0,0,3.1,33,2,0,5,0,0,0,14,0,1,2,8770,0.133,0.183,54192.0,35,0.155,59.6
0,43,1,1,5,5,4,55428,3,2,0,1,0,36,2,4,6,3,0,12532.0,1,0,24,1,28800.0,33471.0,0.07,7,404.33,3,14,9,6,71,4852,85,0.967,0.771,2023.0,598,1,0,1,0,0,1,1,0,0,0,2621,2752.0,0.228,0,0,21872.0,949.0,0,46.8,0,28,8,0.906,25,0,,0,60.1,1,0.321,2,3,0,3,4,4,3,0,5.0,89,2,0,2,2,0,0,136,0,2,2,2681,0.126,0.246,88560.0,36,0.2055,47.5
0,46,0,1,0,3,0,35956,2,4,0,4,2,41,0,4,4,2,0,14181.04,1,1,12,0,5607.0,7097.0,-10.2,7,389.08,4,24,11,13,42,4669,94,0.65,0.741,540.0,949,1,0,1,1,0,0,0,0,0,0,1489,1563.0,0.637,1,1,49777.0,2004.0,0,17.8,0,18,6,0.923,14,3,,1,65.6,1,0.273,1,4,0,2,1,0,0,0,4.8,44,3,0,3,1,0,0,9,0,3,2,3425,0.537,0.542,16619.0,24,0.6688,62.2
0,46,0,1,5,3,4,22747,1,4,1,2,0,29,0,1,5,3,0,3051.65,0,1,33,1,12040.0,9153.0,-4.17,6,365.17,2,20,10,9,52,4382,83,0.61,0.694,779.0,1449,0,0,1,0,0,0,1,1,0,0,2228,2042.0,0.65,1,1,0.0,0.0,0,26.9,0,10,7,0.951,12,0,4.5,1,60.4,1,0.08,1,4,0,3,1,8,1,0,3.9,19,7,1,1,0,0,0,68,0,1,2,1716,0.62,0.62,36552.0,17,0.0,50.4
0,65,1,2,3,1,3,33674,2,4,1,1,2,54,4,1,3,3,0,16193.8,1,2,2,1,7876.0,8914.0,-0.78,5,350.67,2,18,16,3,31,4208,69,0.832,0.865,3161.0,1438,1,0,1,0,0,0,0,0,0,0,4599,1822.0,0.313,1,1,0.0,0.0,0,48.0,0,17,12,0.949,10,1,,1,64.7,1,0.743,1,8,0,4,3,6,2,0,5.0,26,1,0,0,1,0,0,39,0,0,2,3093,0.252,0.363,23983.0,29,0.0,59.9
0,32,0,1,3,1,3,81303,4,5,2,4,1,22,2,2,3,2,0,8055.85,0,3,57,1,15068.0,20535.0,5.31,5,362.92,5,20,5,7,60,4355,71,0.984,0.919,896.0,2517,0,1,1,0,1,0,0,1,1,1,3413,2473.0,0.737,1,1,178909.0,6218.0,0,96.8,0,16,11,0.865,5,1,4.0,1,60.1,1,0.358,2,2,0,3,3,1,0,0,2.4,-21,5,0,4,0,0,0,24,0,1,1,7814,0.673,0.65,45710.0,27,0.9178,60.6
0,54,0,1,6,3,4,27332,1,4,2,4,0,36,1,4,6,0,0,9338.58,0,2,1,0,21931.0,22621.0,-9.64,2,116.75,3,18,12,7,68,1401,30,0.487,0.579,296.0,2260,1,0,1,0,0,0,0,0,1,0,2556,1027.0,0.884,0,2,0.0,0.0,0,41.0,0,17,10,0.925,65,1,,1,61.9,1,0.355,3,1,0,2,4,0,1,0,3.9,76,10,2,1,1,1,0,166,0,3,2,2250,0.801,0.811,67174.0,27,0.0,57.3
0,37,1,2,3,2,4,70096,3,2,0,3,2,21,0,1,5,1,0,14573.93,0,1,10,0,12867.0,11168.0,1.11,7,370.33,3,13,5,1,74,4444,87,0.526,0.642,2469.0,964,1,0,1,1,1,0,1,0,0,0,3433,1811.0,0.281,1,0,12381.0,585.0,0,25.8,1,25,8,0.864,25,0,,1,65.9,1,0.527,0,0,0,4,2,0,1,0,3.9,97,3,0,0,2,0,0,17,0,3,2,5858,0.255,0.311,39687.0,33,0.1001,56.3
0,49,0,1,2,5,3,53945,3,1,1,2,2,35,2,1,5,3,0,16256.87,1,3,13,0,9115.0,8118.0,-11.82,6,329.67,4,16,7,7,78,3956,74,0.797,0.609,9823.0,1292,1,1,1,0,0,0,1,0,0,1,11115,2152.0,0.116,1,1,0.0,0.0,0,23.4,0,20,3,0.882,24,1,,0,52.8,1,0.464,2,2,0,3,1,0,0,0,4.3,29,3,1,1,1,0,0,20,0,1,2,5006,0.114,0.114,25166.0,23,0.0,39.9
0,50,1,1,0,1,4,103438,4,3,0,2,2,33,0,3,5,0,0,25866.29,0,0,14,0,7962.0,7046.0,9.32,7,346.08,7,18,11,4,115,4153,91,0.778,0.685,15947.0,1211,1,0,1,0,1,0,1,1,0,0,17158,1731.0,0.071,0,0,125916.0,5862.0,0,16.9,1,20,13,0.825,26,2,,0,47.4,1,0.313,3,4,0,4,2,0,0,0,2.2,12,5,0,2,1,0,0,159,0,3,1,9667,0.02,0.034,25158.0,33,0.6801,42.5
0,34,1,1,3,3,0,63929,3,2,1,0,1,26,0,2,4,0,0,11604.28,1,3,91,1,9515.0,8819.0,6.16,2,153.58,4,12,6,5,91,1843,35,0.952,0.944,748.0,2517,1,0,1,0,1,1,0,1,0,0,3265,1404.0,0.771,1,1,52309.0,1605.0,1,52.5,0,23,9,0.852,32,2,,0,55.8,1,0.364,1,1,0,4,3,3,1,0,3.5,41,6,1,1,1,0,0,1,1,1,0,4396,0.754,0.617,29261.0,32,0.3013,44.7
0,53,1,1,5,3,3,76063,3,3,2,3,1,36,0,2,3,3,0,13953.5,1,0,21,1,12116.0,12855.0,2.04,3,183.08,3,14,3,6,90,2197,45,0.956,0.957,9321.0,2129,1,1,1,1,0,0,0,0,0,0,11450,1305.0,0.186,1,1,66172.0,2493.0,0,42.6,0,22,10,0.885,14,2,3.6,1,62.4,1,0.617,1,2,0,2,1,5,0,0,2.5,17,5,0,4,1,0,0,35,0,2,0,4610,0.186,0.173,37275.0,32,0.3933,61.0
1,51,0,1,2,0,2,25734,1,4,0,0,0,32,1,0,4,3,0,2404.78,0,0,120,1,2572.0,2556.0,14.47,3,198.08,2,7,7,6,76,2377,47,0.879,0.516,1426.0,331,1,0,1,0,0,0,0,0,1,0,1757,1239.0,0.188,0,5,0.0,0.0,0,56.9,0,16,7,0.909,12,3,2.6,0,54.9,1,0.468,4,6,1,2,3,1,2,0,4.2,0,5,0,2,2,0,0,365,0,0,0,2057,0.161,0.259,7744.0,23,0.0,43.7
0,49,0,1,5,4,2,19418,1,4,2,3,0,36,3,4,6,0,0,3715.69,0,2,3,1,12354.0,15165.0,-7.66,3,180.83,5,21,13,10,104,2170,41,0.782,0.464,1438.3,0,1,0,1,0,1,0,0,1,1,0,1438,1510.0,0.0,1,2,142331.0,4122.0,0,41.8,1,15,10,0.898,16,2,,0,50.1,1,0.46,0,0,0,6,3,9,3,0,1.8,-11,3,0,2,0,0,0,6,1,1,2,1368,0.0,0.045,38347.0,25,2.5473,40.5
0,47,1,1,0,2,0,67112,3,2,0,2,2,35,0,1,2,2,3,16727.99,1,0,24,0,14879.0,17417.0,11.54,8,715.17,10,16,5,9,53,8582,106,0.674,0.767,33167.0,1349,1,0,1,0,0,0,1,1,0,0,34516,3556.0,0.039,1,0,0.0,0.0,0,38.0,0,22,5,0.75,26,1,3.5,1,59.1,1,0.676,1,1,0,5,1,0,2,0,5.0,3,7,0,0,2,0,0,34,0,2,1,5128,0.12,0.034,43475.0,27,0.0,52.1
0,41,0,1,2,3,4,24822,1,4,0,2,2,36,0,4,6,0,0,8071.75,1,0,18,1,8178.0,6306.0,-13.11,6,328.58,9,19,7,11,209,3943,80,0.889,0.702,1626.0,1247,1,1,1,1,1,0,0,0,1,0,2873,2842.0,0.434,1,0,36505.0,830.0,0,62.0,1,21,8,0.804,12,1,1.7,1,57.2,1,0.448,1,1,0,6,4,7,3,0,4.2,55,7,0,3,1,0,0,121,0,1,2,1950,0.44,0.338,22673.0,29,0.4013,51.9
0,46,1,1,5,1,1,101428,4,3,2,1,0,36,3,2,2,2,0,29239.31,0,2,8,1,12378.0,10783.0,-4.4,7,671.33,4,20,11,4,114,8056,95,0.623,0.583,15929.0,1769,1,1,1,0,1,0,1,0,0,0,17698,3916.0,0.1,1,1,42724.0,1217.0,0,48.7,0,12,3,0.897,13,2,,1,56.8,1,0.496,2,6,0,1,2,6,0,0,5.0,82,7,0,3,2,0,0,26,0,2,1,9235,0.09,0.21,36719.0,15,0.144,55.4
0,46,0,1,2,4,3,26895,1,5,2,4,2,32,1,4,2,3,0,6001.4,1,4,95,0,36783.0,27096.0,-12.63,6,418.92,4,25,11,8,53,5027,82,0.708,0.64,5118.0,680,1,0,1,0,1,0,0,1,0,1,5798,3928.0,0.117,1,1,100996.0,3509.0,2,61.1,0,16,12,0.917,19,1,,0,56.0,1,0.487,5,1,0,4,1,0,1,0,5.0,75,3,0,1,2,0,0,34,0,2,1,1707,0.101,0.11,114030.0,28,1.5656,41.4
0,37,0,2,6,1,3,35231,2,4,1,4,2,32,2,2,6,1,0,9350.21,1,1,19,0,13653.0,19058.0,-8.2,5,235.42,4,13,9,6,108,2825,60,0.926,0.818,9661.0,0,1,0,1,0,1,0,0,0,1,1,9661,1420.0,0.0,1,0,120911.0,3562.0,0,5.0,0,31,9,0.875,15,1,5.0,1,68.7,1,0.401,0,0,0,4,3,0,0,0,4.7,85,2,0,2,2,0,0,60,0,2,1,3318,0.0,0.106,40211.0,40,1.2132,64.5
0,34,0,2,3,4,3,28256,1,5,0,2,0,26,4,4,2,3,3,5645.68,0,1,7,1,14259.0,15368.0,-6.2,8,1049.58,6,17,7,12,81,12595,106,0.771,0.683,30388.0,1668,0,0,1,0,1,0,0,0,1,0,32056,9044.0,0.052,1,2,30269.0,1162.0,0,38.1,0,22,13,0.857,32,3,4.2,1,61.1,1,0.363,3,5,0,2,2,4,2,0,3.8,-28,6,0,2,0,1,1,30,1,0,2,1816,0.072,0.167,44336.0,35,0.4935,64.4
1,36,0,1,2,1,4,23676,1,4,0,0,1,29,2,0,4,1,0,2353.83,1,0,44,1,2802.0,2108.0,18.02,5,209.67,3,14,6,7,66,2516,63,0.721,0.575,1493.0,0,1,1,1,0,0,0,0,0,1,1,1493,1125.0,0.0,1,1,0.0,0.0,0,37.9,0,13,4,0.9,6,0,,0,46.2,1,0.247,1,16,0,3,3,2,3,0,1.7,-26,4,0,0,0,1,0,119,0,0,1,1819,0.01,0.092,8472.0,17,0.0,38.9
0,35,0,1,2,2,3,42808,2,1,2,2,0,36,0,2,4,0,0,11075.8,1,1,35,1,19616.0,19202.0,4.92,3,131.25,7,23,10,4,111,1575,41,1.078,0.519,1851.0,1603,0,1,1,1,1,1,0,1,0,0,3454,1008.0,0.464,0,1,9297.0,204.0,0,37.1,0,15,6,0.841,11,1,2.9,0,46.7,1,0.411,0,0,0,1,4,8,0,0,2.6,45,4,1,3,3,0,0,201,0,2,1,2828,0.444,0.277,58787.0,21,0.0572,38.1
0,48,1,1,0,3,3,69075,3,2,2,3,0,37,1,4,3,3,0,25010.32,0,2,1,1,20168.0,27992.0,1.07,3,99.25,5,20,4,8,113,1191,40,0.675,0.481,10294.0,1665,1,1,1,1,0,1,1,0,1,0,11959,904.0,0.139,1,1,221210.0,7920.0,1,6.0,0,20,10,0.865,17,0,,1,61.5,1,0.445,2,2,0,5,2,6,4,0,2.4,42,3,0,6,1,0,0,20,1,1,0,5603,0.114,0.141,62603.0,30,1.3759,59.1
1,38,0,2,3,1,3,18000,1,4,2,3,2,26,1,2,5,3,0,983.53,0,0,134,0,1588.0,2123.0,18.35,3,197.67,1,11,6,4,60,2372,44,0.782,0.63,3554.0,0,1,0,1,0,0,0,0,0,1,0,3554,1251.0,0.0,0,5,0.0,0.0,0,69.8,0,12,7,0.955,7,1,,0,48.7,1,0.16,2,8,1,2,4,0,2,0,2.8,29,2,0,3,3,0,0,88,0,2,2,1218,0.0,0.044,4722.0,19,0.0,40.2
0,44,0,2,5,4,3,74595,3,5,0,2,2,24,4,4,6,2,0,11099.11,1,3,9,0,16152.0,13236.0,-0.87,5,349.67,8,18,12,7,108,4196,71,0.869,0.614,997.0,1720,1,1,1,1,1,0,0,1,0,0,2717,2276.0,0.633,1,1,55657.0,2144.0,1,39.3,0,7,13,0.822,19,0,,1,54.2,1,0.421,1,1,0,1,2,0,0,0,3.1,-21,7,0,4,0,0,0,44,0,1,0,6869,0.584,0.593,48742.0,20,0.3449,47.9
0,45,1,0,3,4,5,94702,4,3,1,3,0,39,0,1,5,0,0,18615.8,0,3,22,1,21037.0,24357.0,-1.03,10,1225.75,4,19,5,4,102,14709,125,0.815,0.689,12858.0,1432,1,0,1,1,0,1,0,0,1,0,14290,8352.0,0.1,0,1,348969.0,13387.0,0,32.7,0,22,13,0.875,11,0,3.5,0,54.5,1,0.171,1,1,0,5,4,5,2,0,4.2,70,4,0,1,2,1,0,3,0,1,0,7858,0.129,0.172,62015.0,35,1.6963,43.2
0,51,1,1,2,3,3,90987,4,3,1,1,0,39,0,4,1,3,0,17782.24,1,0,4,0,11803.0,16460.0,12.75,6,390.92,6,17,6,9,62,4691,76,0.618,0.727,5338.0,1750,1,1,1,1,1,0,0,0,0,0,7088,2137.0,0.247,1,0,58514.0,1680.0,0,27.3,0,20,14,0.842,5,1,2.2,1,66.2,1,0.718,1,6,0,1,1,0,1,0,2.2,12,7,1,0,2,0,0,51,0,0,1,7144,0.227,0.175,34237.0,34,0.2216,58.8
1,55,0,3,2,1,2,23308,1,4,0,4,2,36,1,1,4,3,0,2907.96,0,0,76,0,3935.0,5490.0,3.32,3,222.08,3,6,9,7,78,2665,36,0.865,0.333,1035.0,2517,1,0,1,0,1,0,0,0,1,0,3552,1149.0,0.709,1,0,49360.0,1035.0,3,45.9,1,20,7,0.88,24,1,4.2,0,52.2,1,0.17,1,19,0,3,2,0,2,0,2.7,5,7,0,2,1,0,0,151,1,0,1,1778,0.649,0.574,11409.0,27,0.5329,45.5
0,30,1,1,6,1,3,39321,2,1,0,4,2,18,0,2,5,3,0,6330.05,0,3,36,0,67186.0,71945.0,-3.99,2,143.58,8,12,13,5,52,1723,31,0.622,0.55,3346.0,1380,0,0,1,0,0,0,1,0,1,0,4726,846.0,0.292,1,1,0.0,0.0,0,34.0,0,20,10,0.789,8,1,3.3,0,51.7,1,0.36,3,3,0,2,3,0,2,0,3.7,40,8,0,1,1,0,0,27,1,2,0,2269,0.269,0.279,205823.0,30,0.0,40.6
0,43,1,3,3,2,3,100278,4,3,0,1,1,30,2,2,4,3,0,18747.95,0,0,33,1,12475.0,9888.0,-14.03,4,221.58,7,11,8,4,68,2659,55,0.775,0.833,15491.0,2517,1,0,1,0,0,0,0,1,1,0,18008,1215.0,0.14,0,4,0.0,0.0,0,38.4,0,22,6,0.767,12,0,,1,59.9,1,0.543,1,7,0,2,1,3,3,0,5.0,100,5,0,1,1,0,0,17,0,2,2,8992,0.099,0.129,35791.0,28,0.0,60.1
0,39,1,2,2,3,0,70734,3,2,1,0,0,36,2,0,5,3,0,20989.71,0,1,59,1,9541.0,9342.0,5.76,7,383.17,2,17,8,6,106,4598,85,0.9,0.771,323.0,2204,1,0,1,0,1,0,1,0,1,0,2527,2512.0,0.872,0,0,110430.0,4386.0,0,25.8,0,28,9,0.939,14,3,,1,70.9,1,0.218,0,0,0,2,4,3,3,0,3.5,24,3,0,2,2,0,0,200,0,1,0,6019,0.775,0.775,28930.0,37,0.7441,65.7
0,37,1,2,5,3,3,67652,3,2,1,2,1,36,0,2,5,3,0,17555.68,0,1,10,1,27668.0,28016.0,-8.73,2,112.5,10,24,8,7,85,1350,24,3.355,1.182,19835.0,2517,0,1,1,0,0,0,0,0,1,0,22352,727.0,0.113,0,1,0.0,0.0,0,21.9,0,15,10,0.796,7,0,,0,47.4,1,0.349,2,4,0,2,0,4,2,0,3.5,100,4,0,1,2,0,0,58,0,1,2,5257,0.086,0.269,79250.0,25,0.0,44.1
0,44,1,2,3,3,4,150119,0,0,1,2,1,36,0,2,1,3,3,25786.05,1,1,118,1,13105.0,10610.0,1.08,6,661.33,7,17,5,5,85,7936,76,0.776,0.767,33410.0,1106,1,1,1,0,0,0,1,1,0,0,34516,4624.0,0.032,0,3,0.0,0.0,0,32.9,0,17,15,0.794,3,0,5.0,1,58.6,1,0.562,1,3,0,3,2,7,1,0,2.4,27,5,1,2,1,0,0,20,0,2,2,12879,0.01,0.103,37132.0,32,0.0,54.2
